Gene	GeneID	log2FC	AbsLog2FC	padj	baseMean	Rank	Percentile
ALDOB	6819	-2.03436201049411	2.03436201049411	3.98725795938018e-23	95.5536955050403	41	0.168
CHIA	6360	-2.00040553795529	2.00040553795529	1.55073274820743e-19	545.770032418018	42	0.1722
MAGEC2	585	1.99933891704914	1.99933891704914	3.13552826552019e-05	131.75376751294	43	0.1764
SCG3	2737	1.98422687093499	1.98422687093499	3.03342475353791e-22	52.6268621823134	44	0.1806
SUN3	10483	1.97342461463737	1.97342461463737	1.30080665546412e-14	49.6474462118436	45	0.1848
BPIFB4	14094	-1.97244898644294	1.97244898644294	3.40475576311824e-12	38.5025975407026	46	0.189
AC110741.1	19810	-1.96234244183892	1.96234244183892	7.27202559771383e-15	14.9958091423634	47	0.1932
SCGB3A2	10374	-1.95347505724578	1.95347505724578	5.59088028275642e-17	17961.1096108535	48	0.1974
LINC01194	19341	1.95178906877171	1.95178906877171	4.18410023113119e-05	35.9325994201337	49	0.2016
PAK3	1318	-1.92025511867307	1.92025511867307	6.47149608094153e-25	297.031744935672	50	0.2058
AQP5	9780	-1.90992044672126	1.90992044672126	2.11209582739119e-16	3709.25877465115	51	0.21
SOHLH2	4777	1.90200283495772	1.90200283495772	1.68402157434043e-15	42.7817908542649	52	0.2142
ERN2	6401	-1.89358177881327	1.89358177881327	6.94929098153123e-17	1193.64058531867	53	0.2184
C10orf71	12764	-1.89249211385095	1.89249211385095	3.331981624548e-09	18.7160137531566	54	0.2226
FXYD4	8559	-1.89203078791677	1.89203078791677	4.44470956535322e-13	159.323813411967	55	0.2268
UICLM	18020	-1.88525053847612	1.88525053847612	3.14299866904215e-17	38.755540128085	56	0.231
MYO16-AS1	18417	-1.88447556609573	1.88447556609573	2.36350714243099e-14	20.5533739398835	57	0.2352
CLDN18	933	-1.85567772946854	1.85567772946854	1.17426211155813e-14	3646.56759319065	58	0.2394
AC244102.3	23410	1.85068303340956	1.85068303340956	0.000145579945453969	13.8651447895672	59	0.2436
SLC46A2	4624	-1.83485103549027	1.83485103549027	7.16645565513504e-27	238.636716095515	60	0.2478
SLC13A2	165	-1.82993750170759	1.82993750170759	5.43892353030563e-09	198.477567369728	61	0.252
PART1	8833	-1.82651913385496	1.82651913385496	7.66409580294971e-11	41.8985241039329	62	0.2562
CHIAP2	15457	-1.81480873697659	1.81480873697659	1.63314883433968e-10	57.3109294299495	63	0.2604
CHGA	2257	1.81458750646305	1.81458750646305	1.61592330959108e-12	47.7815538938836	64	0.2646
CACNA2D2	177	-1.79381368901367	1.79381368901367	2.80499106906978e-28	2474.01513922842	65	0.2688
HP	20218	-1.78908811371369	1.78908811371369	3.0138118168024e-15	3670.5559105527	66	0.273
POU3F2	13782	1.78895560310683	1.78895560310683	1.08113512950469e-10	100.81763965901	67	0.2772
STXBP5L	8017	1.78182207573855	1.78182207573855	7.01022112656103e-11	20.1156546494097	68	0.2814
PRSS2	22483	-1.78119610885037	1.78119610885037	2.83579639218135e-11	473.161696145334	69	0.2856
PICSAR	22478	1.77842911979524	1.77842911979524	1.15374715450957e-10	18.1798578526307	70	0.2898
AC089983.1	20286	1.77788840343051	1.77788840343051	2.78047688396001e-16	24.5994176118103	71	0.294
AL513548.4	23327	-1.76797931332404	1.76797931332404	1.04745668227675e-12	18.2938849791527	72	0.2982
WDR87	11912	1.7665522017492	1.7665522017492	5.38520921225724e-10	42.4180875757657	73	0.3024
MAGEA12	16134	1.76523444742624	1.76523444742624	0.000137509523314023	248.488405900295	74	0.3066
DGKB	6725	1.76497756467027	1.76497756467027	1.09406610878593e-15	17.9475542276083	75	0.3108
CLDN2	10616	-1.76233109530856	1.76233109530856	1.77282594911226e-12	2815.06155474283	76	0.315
CPB2	1437	-1.75784439158477	1.75784439158477	2.57721798177582e-14	274.596771748038	77	0.3192
SCGB3A1	9728	-1.73438410180503	1.73438410180503	1.61282930390879e-12	12881.0414124539	78	0.3234
AC079384.1	20340	-1.73042788935334	1.73042788935334	3.02234676166329e-09	39.5238672001148	79	0.3276
FSTL4	677	-1.72877448465932	1.72877448465932	6.39666939387733e-19	986.076437074874	80	0.3318
GABRG3	13416	-1.72321677445525	1.72321677445525	7.22803986416811e-08	44.0016825991523	81	0.336
SLC26A9	12352	-1.72027241359402	1.72027241359402	5.15857520207374e-22	2835.14375365325	82	0.3402
CRHR2	3092	-1.71661886477903	1.71661886477903	7.19367432460498e-22	42.4848862668473	83	0.3443
OCA2	2729	-1.71609677715802	1.71609677715802	1.94585612547469e-19	58.0160582157183	84	0.3485
MIR137HG	16910	1.71474121477261	1.71474121477261	1.64502488634968e-08	15.8193994368534	85	0.3527
PCK1	5149	-1.70664250962456	1.70664250962456	7.27644563965944e-07	58.0358466774038	86	0.3569
PEBP4	6328	-1.7048366934744	1.7048366934744	8.54688204539885e-17	1163.52253610301	87	0.3611
MYO18B	6269	1.70148545264527	1.70148545264527	1.22336173744477e-12	24.4094024352576	88	0.3653
ST8SIA6-AS1	15651	1.69946719836681	1.69946719836681	8.80056451635578e-09	72.941596246736	89	0.3695
TCAM1P	18787	1.69542284306924	1.69542284306924	7.67401113883734e-12	70.2271899174492	90	0.3737
UCA1	16254	1.69354995664111	1.69354995664111	2.99670073998101e-11	88.5406886361342	91	0.3779
LINC01213	19157	1.67742678060669	1.67742678060669	8.60724077365618e-14	8.29839404640008	92	0.3821
IRX1	11682	-1.67608461104046	1.67608461104046	4.72131019203304e-13	84.7946718548131	93	0.3863
GALNTL6	12345	-1.6760613365788	1.6760613365788	8.087057271842e-17	105.283068492043	94	0.3905
MAGEA3	16585	1.67277929274929	1.67277929274929	0.000405506978955129	480.479762376675	95	0.3947
COL25A1	14434	-1.66687249683569	1.66687249683569	1.66409861484357e-09	578.006539048348	96	0.3989
CDH16	10883	-1.65432724049292	1.65432724049292	4.73944472034936e-10	23.2050910731231	97	0.4031
SLC26A4	1840	-1.64700073493324	1.64700073493324	8.82381233548933e-17	270.201962512034	98	0.4073
LINC02122	19372	-1.63964691348556	1.63964691348556	7.95490465372192e-11	15.3917876653904	99	0.4115
SFTPB	11358	-1.63911168726632	1.63911168726632	3.28047222822996e-21	437780.185052685	100	0.4157
LHFPL3-AS2	16923	-1.63896197012289	1.63896197012289	7.65563998146443e-16	283.791883582508	101	0.4199
PRMT8	3643	-1.63817430210747	1.63817430210747	2.87993710953981e-15	85.1452924111743	102	0.4241
RPL26P30	18420	-1.63257231786974	1.63257231786974	2.20580346906699e-19	86.8598388937604	103	0.4283
PTCHD4	19175	-1.63055532297107	1.63055532297107	3.84846626526746e-25	94.5050214730296	104	0.4325
AADAC	4075	-1.62406064746391	1.62406064746391	1.21829001028165e-13	233.985657587069	105	0.4367
GRIN2A	13594	-1.62381843301993	1.62381843301993	4.73979781838973e-11	115.717704730658	106	0.4409
RNF222	14536	1.61941746678211	1.61941746678211	2.10509060631556e-17	9.95414173547424	107	0.4451
WFDC12	11327	-1.61426561319907	1.61426561319907	1.13626005700024e-10	14.4454309309876	108	0.4493
TM4SF5	7634	-1.61219202749661	1.61219202749661	1.82362749161933e-05	48.0486501444622	109	0.4535
CSAG1	15355	1.60844130028158	1.60844130028158	4.35267752916629e-05	190.699246125551	110	0.4577
SLC30A2	9351	1.60714516888197	1.60714516888197	1.26935875142794e-14	54.1802051562737	111	0.4619
SLC6A15	1122	1.60688060296381	1.60688060296381	1.05506639007388e-06	53.5898293585965	112	0.4661
TM4SF4	11550	-1.60502825160018	1.60502825160018	1.55957353243473e-08	887.347969359934	113	0.4703
FAM133A	13017	1.60385729762265	1.60385729762265	1.35332051054506e-07	244.912770808854	114	0.4745
AC106738.2	20558	-1.60266529962115	1.60266529962115	2.80929048497614e-13	11.0732877086713	115	0.4787
MAGEA6	14880	1.60035600001297	1.60035600001297	0.00227753937393835	381.224808683001	116	0.4829
AL442224.1	17832	-1.59289464347098	1.59289464347098	3.44675212642286e-07	22.954122100796	117	0.4871
AC008870.5	22757	-1.58776322957442	1.58776322957442	2.49949916414312e-09	17.9268996397655	118	0.4913
NXF3	8266	-1.58382855189522	1.58382855189522	4.25553149900572e-19	49.6913307740728	119	0.4955
SLC9A4	13166	-1.58302425228266	1.58302425228266	1.68589067312333e-06	20.9016405380863	120	0.4997
PIK3C2G	7205	-1.58153912257347	1.58153912257347	1.55090858555945e-08	184.559824302663	121	0.5039
FER1L6	16354	-1.58032185057877	1.58032185057877	6.31276085450165e-10	59.6515431430264	122	0.5081
ANXA10	3469	-1.57761560063458	1.57761560063458	5.11905156133985e-08	151.067205096748	123	0.5123
SFTA1P	16932	-1.57413875941081	1.57413875941081	3.54087612981508e-21	1020.31102469435	124	0.5165
AL353138.1	23561	-1.56909024208833	1.56909024208833	2.88939870961586e-18	8.11306295169957	125	0.5207
LINC02616	20935	1.56708133469091	1.56708133469091	0.0013304251558372	23.1176667791604	126	0.5249
INSL4	4727	-1.56175993217661	1.56175993217661	0.000499814569629167	187.564641245373	127	0.5291
PRSS1	15691	-1.55669058905147	1.55669058905147	4.5881894752598e-08	65.1169312371166	128	0.5333
LINC02688	19997	-1.55325369602156	1.55325369602156	4.87040650141011e-12	148.608280711015	129	0.5375
GLTPD2	13429	-1.55172316925547	1.55172316925547	3.37661972728974e-20	109.871887107133	130	0.5417
FAM169B	23207	-1.55114435701362	1.55114435701362	2.35491092743769e-07	18.2657574072277	131	0.5459
CALCA	3585	-1.5456894469887	1.5456894469887	7.19666087972147e-05	3011.34750976878	132	0.5501
MUC5B	4497	-1.54528061892844	1.54528061892844	3.01168826692548e-10	36674.8012749166	133	0.5543
MYT1	14617	-1.54302386207496	1.54302386207496	6.89588315056666e-13	59.1097566674108	134	0.5585
AC016769.5	23495	1.54194472704739	1.54194472704739	1.41540484095297e-06	16.5232712132066	135	0.5627
NLGN4X	8226	1.53910379283558	1.53910379283558	1.25735805920343e-20	130.885906798725	136	0.5669
PLAC1	11757	1.53893619101821	1.53893619101821	1.29698967044128e-16	45.8187407086852	137	0.5711
AC104692.1	15667	1.53374996203301	1.53374996203301	3.71925047928784e-06	7.63172523879255	138	0.5753
ETNPPL	10316	-1.53329426238697	1.53329426238697	0.000121859993304034	62.4950911051162	139	0.5795
MSLN	2580	-1.52992513726256	1.52992513726256	9.50172265910808e-12	24580.9423333812	140	0.5837
CDK5R2	11843	1.52951392197944	1.52951392197944	4.74385919738174e-11	45.249942769448	141	0.5879
ALDH3A1	3368	-1.52644992441879	1.52644992441879	9.39424988363315e-10	2413.014121883	142	0.5921
LINC00942	19487	1.51504259270881	1.51504259270881	4.51819350117069e-09	532.940989208935	143	0.5963
CDKN2A	8340	1.51394262147008	1.51394262147008	8.14901288624294e-18	1022.22656027761	144	0.6005
AC010970.1	16995	-1.51133217716192	1.51133217716192	5.87999990385703e-07	30.1128112354147	145	0.6047
FAM3D	15226	-1.51050385598429	1.51050385598429	4.20305094637749e-13	147.501278531114	146	0.6089
PAX7	225	-1.50999216294689	1.50999216294689	0.000201477347458431	561.697185655842	147	0.6131
UPK2	3562	1.5098742130338	1.5098742130338	1.03177870745551e-20	27.2155226428236	148	0.6173
DLX6	127	1.50986638914811	1.50986638914811	9.04628228666751e-08	50.5481448817689	149	0.6215
LINC00664	21536	1.50595925067025	1.50595925067025	9.92351213574104e-18	42.8687671228028	150	0.6257
SHISA2	13222	-1.50590678292411	1.50590678292411	1.43175737681841e-16	871.29462962568	151	0.6299
ODC1	4223	-1.50033323482225	1.50033323482225	5.50437884251564e-24	15716.2182442075	152	0.6341
ISM2	2251	1.49588096347478	1.49588096347478	1.00125187885556e-10	13.5064768408232	153	0.6383
CGA	6546	-1.49225634387796	1.49225634387796	0.000182011510464567	86.6174462441287	154	0.6425
LINC00470	6077	1.48629165953585	1.48629165953585	2.37876758326228e-06	34.7651003380876	155	0.6467
AL136452.1	17452	-1.48629150895708	1.48629150895708	4.81555823703312e-18	14.8487095780594	156	0.6509
VGLL1	2524	1.48415786878494	1.48415786878494	9.87919539260568e-11	185.972971165397	157	0.6551
LPL	12498	-1.48348455523432	1.48348455523432	3.12612582327248e-22	2728.49258432854	158	0.6593
GPC2	16138	1.48319708208935	1.48319708208935	4.48621361337568e-23	142.251865966719	159	0.6635
C4orf54	19406	1.48305262240811	1.48305262240811	1.78976415318577e-11	44.2949645811846	160	0.6677
CDH7	1458	1.48293729871693	1.48293729871693	1.48874085651134e-07	18.6790524788393	161	0.6719
IL36RN	6780	1.47922971945343	1.47922971945343	6.84578805948139e-09	152.315122434049	162	0.6761
MKRN3	13069	1.47767947958671	1.47767947958671	1.34059968304404e-09	58.3397989120165	163	0.6803
LHX1	22266	1.47244229117227	1.47244229117227	2.20377968264758e-05	20.6480934810874	164	0.6845
HAR1B	17725	-1.47145722432142	1.47145722432142	1.49902892304112e-12	15.0564551020722	165	0.6887
DLX6-AS1	17804	1.46644932843521	1.46644932843521	7.04037243985598e-08	71.5966509652057	166	0.6929
SYBU	8314	-1.46643463543357	1.46643463543357	2.60897351492127e-23	1532.18024751375	167	0.6971
MTND4P20	18017	-1.46461851181775	1.46461851181775	1.40265185462293e-07	12.4336062293755	168	0.7013
TENM1	224	-1.46447515617655	1.46447515617655	1.00591894863399e-10	495.074766981227	169	0.7055
RERGL	3674	-1.46261856376555	1.46261856376555	4.28640582037682e-12	37.4603968787589	170	0.7097
SERPINA4	2270	-1.46115343222306	1.46115343222306	3.20133332214451e-05	130.860694012109	171	0.7139
MUC2	15280	-1.46057418995566	1.46057418995566	6.36713411480218e-07	65.4292017441867	172	0.7181
CDHR5	2031	-1.45969896556988	1.45969896556988	1.34059968304404e-09	103.632830001294	173	0.7223
PGLYRP3	9528	-1.45814116652103	1.45814116652103	6.17476051022284e-09	38.4403637641662	174	0.7265
MAJIN	11209	1.45235543333289	1.45235543333289	1.73160556350832e-10	37.85584327976	175	0.7307
USH1C	139	-1.45233562294892	1.45233562294892	2.69608034354318e-08	272.284254450499	176	0.7349
KRT40	15666	1.44861068896003	1.44861068896003	2.05497193569772e-08	40.7120403679874	177	0.7391
PCSK1	12497	-1.44758873156533	1.44758873156533	2.16934232149275e-07	771.937228704577	178	0.7433
DUOX1	7002	-1.44136338848078	1.44136338848078	1.53013609744723e-25	2016.68559346691	179	0.7475
CAPN9	6625	-1.44106465956454	1.44106465956454	1.06339140582397e-16	420.505363516703	180	0.7517
MEIOC	13175	1.44028158315087	1.44028158315087	2.48269662472912e-16	73.6554457372407	181	0.7559
PDIA2	13979	1.43893727630013	1.43893727630013	2.50639905664606e-10	120.081097798688	182	0.7601
ALPG	10070	-1.43844372415736	1.43844372415736	3.11880141788767e-08	151.608219923663	183	0.7643
AP005262.1	21263	1.43693707326166	1.43693707326166	5.1336167105185e-06	31.7582700828094	184	0.7685
LINC01208	16687	1.4368721540578	1.4368721540578	1.38550873046148e-14	12.3142177935617	185	0.7727
FSD1	2913	1.43572647789972	1.43572647789972	2.49573572291526e-20	41.2980540683201	186	0.7769
PADI1	7654	1.43390908978793	1.43390908978793	9.14082897978181e-08	186.474672683804	187	0.7811
RS1	2506	-1.4314135908877	1.4314135908877	2.69331035736318e-11	10.4718899893527	188	0.7853
CKM	2840	1.43108114582848	1.43108114582848	2.54401531212929e-14	77.7977544184802	189	0.7895
KCNK17	5222	-1.42953906570814	1.42953906570814	4.22395122183904e-21	115.032724336422	190	0.7937
CD300LG	9768	-1.42916699114687	1.42916699114687	2.28315796149242e-11	28.866741232203	191	0.7979
STEAP1B	3048	1.42747826154059	1.42747826154059	1.24479865755658e-18	85.2393046300489	192	0.8021
GTSF1	11696	1.42034369097634	1.42034369097634	2.56954893305877e-12	125.894330879393	193	0.8063
CYP2C9	7056	-1.41943583041412	1.41943583041412	9.98836627092196e-11	48.8730337684344	194	0.8105
IHH	10123	-1.41645992762033	1.41645992762033	1.42721079555754e-10	54.6928906598263	195	0.8147
CIT	5001	-1.41623904367988	1.41623904367988	1.45587477447955e-24	6899.58777096165	196	0.8189
ZNF695	14946	1.41402333094205	1.41402333094205	3.95088760712176e-16	41.9455436072335	197	0.8231
LINC00958	19682	1.41083871340624	1.41083871340624	2.78226950503097e-12	98.2160147966825	198	0.8273
HHATL	243	-1.41000238669172	1.41000238669172	6.5198134953112e-07	22.2680808618552	199	0.8315
C16orf89	8895	-1.40820695301384	1.40820695301384	1.38336116526785e-14	11640.8676668687	200	0.8357
INSL6	4726	1.40285997253409	1.40285997253409	1.05700627694472e-13	14.5700781877397	201	0.8399
CTSV	6843	1.40127445665503	1.40127445665503	9.72525254681921e-21	467.490406430875	202	0.8441
FGL1	2816	-1.39988253146982	1.39988253146982	8.27029844386766e-07	2204.69753211818	203	0.8483
VILL	6683	-1.39900661601502	1.39900661601502	7.19367432460498e-22	1115.16753167021	204	0.8525
CNTNAP2	12344	1.39708852782415	1.39708852782415	3.76314921921981e-10	354.540899751066	205	0.8567
NEFH	2149	1.3961906060996	1.3961906060996	2.50577439464754e-10	367.575206819654	206	0.8609
TNNC2	2428	1.39301503732223	1.39301503732223	1.34467069097682e-10	440.857041855286	207	0.8651
SPATA18	10025	-1.39100299108059	1.39100299108059	2.97296966427336e-22	592.734271174179	208	0.8693
KRT81	15744	1.39087577393817	1.39087577393817	8.81887420620828e-10	321.835003550909	209	0.8735
AL118508.1	17622	-1.38906471610613	1.38906471610613	3.92629589827663e-13	27.6264139567563	210	0.8777
ELANE	14963	-1.38348370003289	1.38348370003289	4.73942286842435e-11	21.8148344558022	211	0.8819
AC010894.2	18451	1.38000275547454	1.38000275547454	9.94184782225379e-09	43.1287023089841	212	0.8861
WNT16	26	1.3793383697316	1.3793383697316	2.46169125172971e-14	30.295214670514	213	0.8903
IZUMO2	9769	-1.3776409564887	1.3776409564887	2.55925809444444e-06	21.2696654207236	214	0.8945
ALB	10170	-1.37479984989147	1.37479984989147	8.34721448793976e-06	339.873869608871	215	0.8987
LGI3	11285	-1.37461384914539	1.37461384914539	3.53244481344818e-09	219.966754152111	216	0.9029
BARX1-DT	18332	-1.37043674198791	1.37043674198791	4.53920112481348e-05	29.6698955769078	217	0.9071
LINC01511	19597	1.36790214593685	1.36790214593685	2.44519238949566e-11	10.5521142531861	218	0.9113
SERPINA6	11589	-1.36664695207562	1.36664695207562	5.7759662670453e-06	11.9908699424666	219	0.9155
VGF	5615	1.36475408354271	1.36475408354271	1.26174009885311e-11	77.6568844850431	220	0.9197
AL356234.2	17644	1.36304760348355	1.36304760348355	1.62312621296672e-08	18.069269797996	221	0.9239
CBR1	9493	-1.36179365073116	1.36179365073116	2.25057807738619e-20	6813.25236236639	222	0.9281
CYP4B1	7689	-1.36163753238594	1.36163753238594	1.83459985890917e-12	4819.86149416331	223	0.9323
TMEM179	20439	1.36022867689708	1.36022867689708	9.22801250167766e-06	31.7998639334397	224	0.9365
FOXN4	7260	1.35981883941512	1.35981883941512	7.55697628564366e-07	18.9487368294919	225	0.9407
FOXE1	12983	1.35923570304693	1.35923570304693	3.84556226587499e-07	166.591923846387	226	0.9449
TKTL1	173	1.35793774349581	1.35793774349581	2.1255558619581e-07	34.3827317122542	227	0.9491
SFTPA2	13923	-1.35664138220996	1.35664138220996	1.70633737490251e-10	165708.318614435	228	0.9533
SILC1	17846	-1.353406398187	1.353406398187	7.01501464650549e-08	28.4413096157273	229	0.9575
DUOXA1	7348	-1.35271499574456	1.35271499574456	1.92532005651048e-22	556.624320743864	230	0.9617
SHOX2	11339	1.35143718950615	1.35143718950615	1.4694631683459e-15	98.9212657602213	231	0.9659
SFTPD	6289	-1.35086824878726	1.35086824878726	5.60709047690839e-14	8677.74217763819	232	0.9701
RPL13AP17	17747	-1.35072373365119	1.35072373365119	8.05223878580256e-09	47.2707094405254	233	0.9743
AC244102.4	23669	1.34857185059091	1.34857185059091	0.0121062664646063	27.0457030649619	234	0.9785
MYO1A	10939	-1.34593158662385	1.34593158662385	1.14601218876583e-15	35.5742287314492	235	0.9827
BEX1	6242	1.34332952352174	1.34332952352174	1.14798066373547e-07	41.1313628658934	236	0.9869
GRIK3	10242	-1.33930358780822	1.33930358780822	5.49422621202344e-10	38.6240381850398	237	0.9911
MUC22	20851	1.33816662993856	1.33816662993856	8.78585425400843e-11	51.0378380106942	238	0.9953
LINC00524	20444	-1.335883662335	1.335883662335	2.87845203885373e-06	10.001821490395	239	0.9995
AGTR2	13230	-1.3347951520808	1.3347951520808	1.21757334725915e-07	241.049742547524	240	1.0037
KLK5	11132	1.33447966959167	1.33447966959167	0.000119876751060076	49.629962686271	241	1.0079
FLJ42969	19391	1.33416835320392	1.33416835320392	4.73870084705962e-12	11.1167471551469	242	1.0121
DDX25	3504	1.32921863245744	1.32921863245744	1.19122966860701e-12	20.6791518783782	243	1.0163
SFTPA1	4988	-1.32445372310754	1.32445372310754	7.36507647182861e-10	123441.161749814	244	1.0205
AP003327.2	23672	1.32320109579629	1.32320109579629	4.24549734111634e-07	21.9585799663177	245	1.0247
KLK14	5709	-1.3228068933595	1.3228068933595	2.75252463923318e-08	99.5881626692687	246	1.0288
IGF2BP1	9492	1.32260770763243	1.32260770763243	1.05747487961701e-05	449.140127575355	247	1.033
DIO3OS	20362	-1.32068768221055	1.32068768221055	1.27587141313109e-14	101.881202251846	248	1.0372
TMED6	9274	-1.32056411265414	1.32056411265414	2.15121596341293e-18	87.3002714258605	249	1.0414
DUSP9	5908	1.31990251327521	1.31990251327521	9.45984217956253e-10	138.122783870434	250	1.0456
SLC16A11	12326	-1.31981733451983	1.31981733451983	2.81971542720267e-22	136.870002860211	251	1.0498
BMP6	8867	-1.31887234548035	1.31887234548035	6.57057477211932e-14	750.63935286378	252	1.054
CYP2B6	14930	1.31880953384784	1.31880953384784	6.81840040453673e-07	18.0866945845746	253	1.0582
ARHGEF2-AS1	16775	-1.31827064883225	1.31827064883225	2.84042810621987e-11	13.0325368137823	254	1.0624
LINC00355	17268	1.31699085001739	1.31699085001739	0.000498893261604094	30.4045706404855	255	1.0666
CDIPTOSP	16342	1.31338655367083	1.31338655367083	2.9508219435005e-13	34.6486997917057	256	1.0708
ELFN1-AS1	18400	1.31334439042969	1.31334439042969	1.2539896245872e-08	39.4236891960208	257	1.075
ATP13A4-AS1	16943	-1.31174873007001	1.31174873007001	6.59286540079507e-08	76.4724117859392	258	1.0792
AC129507.2	20989	-1.30960080084243	1.30960080084243	1.58540337353549e-16	42.2890146688125	259	1.0834
TMEM132D	8732	-1.30869059518982	1.30869059518982	2.41145557960432e-07	122.174697045656	260	1.0876
MEIOB	9810	1.30792118850026	1.30792118850026	1.38405351309339e-10	25.3497121763614	261	1.0918
SLC16A12	8822	-1.30689005017774	1.30689005017774	4.40820967290008e-12	190.027224809129	262	1.096
TNFRSF10C	12210	-1.30621970430659	1.30621970430659	2.60161351555361e-36	145.342130348437	263	1.1002
KIF1A	5798	1.30567740746803	1.30567740746803	1.08122807726949e-05	1798.59720279234	264	1.1044
SERTM2	20760	-1.30456194628639	1.30456194628639	1.72708269323605e-08	34.831320468733	265	1.1086
LINC01518	18036	1.30332511821367	1.30332511821367	5.13163169861618e-06	34.3585245104137	266	1.1128
LINGO2	12346	1.30321113904168	1.30321113904168	8.77157359405233e-08	16.2499207695436	267	1.117
GRIK5	3018	1.30098180147092	1.30098180147092	4.2890125714924e-13	121.759259253497	268	1.1212
CDKN2B-AS1	18810	1.30045160075958	1.30045160075958	3.55504664888834e-18	104.475724992394	269	1.1254
ZNF280A	11486	1.29863620346817	1.29863620346817	0.000448016359606221	10.795959491328	270	1.1296
AC022733.1	19894	-1.2984623025947	1.2984623025947	1.61867716393491e-07	86.8566628225607	271	1.1338
SLC39A5	7269	-1.29833055900858	1.29833055900858	1.7134713636472e-10	41.9324330144198	272	1.138
